,title,description,stars,price,price_discount,reviews,url
31,Apartamento en Santiago,Arriendo depto metro San Alberto Hurtado,4.58,23944,,73,https://www.airbnb.cl/rooms/44356216?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-25&check_out=2023-05-30&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
32,Apartamento en Santiago,Cómodo apartamento.,0.0,22720,27583.0,0,https://www.airbnb.cl/rooms/882009373679347416?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-12&check_out=2023-05-17&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
33,Apartamento en Santiago,Departamento Barrio Lastarrias,5.0,25201,27565.0,7,https://www.airbnb.cl/rooms/773783707382176442?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
34,Casa de huéspedes en San José de Maipo,"Acogedora Tiny house junto al río, Cajón del Maipo",4.92,64800,,248,https://www.airbnb.cl/rooms/24889677?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
35,Habitación en Providencia,Buena ubicacion en Providencia,4.81,21258,,32,https://www.airbnb.cl/rooms/14857518?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
36,Apartamento en Providencia,Comodidad y conectividad.,0.0,46720,,0,https://www.airbnb.cl/rooms/880316971961675206?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-19&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
37,Apartamento en Santiago,Arriendo hermoso dpto. Santiago,0.0,31770,38570.0,0,https://www.airbnb.cl/rooms/865127405781340563?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
38,Apartamento en Santiago,Centro de apartamentos Terra Family Santiago.,4.76,33592,38510.0,93,https://www.airbnb.cl/rooms/37811976?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
39,Habitación en Santiago,Habitación y baño privado,5.0,18958,22203.0,15,https://www.airbnb.cl/rooms/819086846450166485?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
40,Casa de campo en Pirque,Moderna Cabaña con tinaja caliente,4.93,70349,,40,https://www.airbnb.cl/rooms/710383341971699608?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
41,Apartamento en Santiago,Departamento en Santiago centro,0.0,23920,,0,https://www.airbnb.cl/rooms/802923564347495760?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
42,Condo en Santiago,"★La mejor ubicación ★Central, hermoso, renovado",4.89,35111,48009.0,238,https://www.airbnb.cl/rooms/plus/29181740?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
43,Apartamento en Santiago,"Excelente y acogedor Departamento, lado metro 2p",4.59,24658,26958.0,17,https://www.airbnb.cl/rooms/686368788500019350?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
44,Apartamento en Santiago,Studio Privado Para Tres,5.0,28764,,4,https://www.airbnb.cl/rooms/864906861294958580?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-19&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
45,Apartamento en Santiago,Departamento 1 habitación.,0.0,28230,34122.0,0,https://www.airbnb.cl/rooms/851520975253623759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
46,Apartamento en Santiago,Estudio Lord Cochrane - Paseo Bulnes centro,4.72,26032,,268,https://www.airbnb.cl/rooms/5415303?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
47,Loft en Santiago,¡Tranquilidad en el Corazón de Santiago!,4.87,31457,40135.0,202,https://www.airbnb.cl/rooms/34394108?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
48,Habitación en La Cisterna,Bonita habitación privada en La Cisterna,4.93,11680,,92,https://www.airbnb.cl/rooms/49288498?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-13&check_out=2023-05-18&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
49,Lugar para quedarse en Providencia,Bella Habitación en Providencia,4.91,14112,,23,https://www.airbnb.cl/rooms/41700181?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-14&check_out=2023-05-21&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
50,Apartamento en Santiago,"Tribeca Gold con televisor inteligente, estacionamiento, metro y aire acondicionado",4.32,21806,31740.0,22,https://www.airbnb.cl/rooms/668691355903981721?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
51,Apartamento en Santiago,Departamento excelente ubicación,4.88,39082,,16,https://www.airbnb.cl/rooms/768329420257294370?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
52,Loft en Las Condes,Alma-Loft/ nuevo y moderno departamento de 2 pisos,4.86,80805,,36,https://www.airbnb.cl/rooms/701873893538295232?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
53,Lugar para quedarse en Santiago,"Habitación Tribeca con cama tamaño king, estudio con wifi, aire acondicionado",4.62,21807,30287.0,39,https://www.airbnb.cl/rooms/615229071447416946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-09&check_out=2023-05-14&previous_page_section_name=1000&federated_search_id=235d34af-4421-4f0e-99a3-82a38760bc72
54,Cabaña en Pirque,Moderno  loft en San Juan de Pirque,4.98,88768,,60,https://www.airbnb.cl/rooms/573857582406896322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
55,Apartamento en Santiago,Centro de apartamentos Terra Family Santiago.,4.76,33592,38510.0,93,https://www.airbnb.cl/rooms/37811976?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
56,Apartamento en Providencia,Apart Hotel de lujo y negocios,4.73,56998,71139.0,233,https://www.airbnb.cl/rooms/34479566?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
57,Habitación en Santiago,Habitación en el Centro/  A Minutos del Aeropuerto,4.8,21698,,5,https://www.airbnb.cl/rooms/869697123641558805?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
58,Apartamento en Estación Central,Departamento vista 1608 Cerca Metro,4.94,26667,,16,https://www.airbnb.cl/rooms/723019476126628503?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
59,Habitación en La Cisterna,Bonita habitación privada en La Cisterna,4.93,11680,,92,https://www.airbnb.cl/rooms/49288498?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-13&check_out=2023-05-18&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
60,Habitación en Pudahuel,Cercano al aeropuerto (12min) y al centro (30min).,4.91,26864,,44,https://www.airbnb.cl/rooms/38669722?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
61,Domo en Pirque,Domo privado Pirque,4.88,99120,,16,https://www.airbnb.cl/rooms/45634806?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
62,Apartamento en Santiago,Acogedor Home Studio,4.23,28032,,91,https://www.airbnb.cl/rooms/42795408?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
63,Apartamento en Santiago,"Moderno, Diseño, Céntrico",4.9,33374,43511.0,144,https://www.airbnb.cl/rooms/37238946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
64,Apartamento en Santiago,Dpto studio Ñuñoa,0.0,35039,,0,https://www.airbnb.cl/rooms/868854764232666294?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
65,Habitación en Santiago,Habitación y baño privado,5.0,18958,22203.0,15,https://www.airbnb.cl/rooms/819086846450166485?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-05&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
66,Apartamento en Santiago,Céntrico agradable y cómodo dpto,4.82,25462,32237.0,11,https://www.airbnb.cl/rooms/815298538761402998?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
67,Apartamento en San Miguel,Departamento acogedor,4.67,40880,,9,https://www.airbnb.cl/rooms/831126938912410155?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
68,Habitación en Santiago,"Patagonia,
habitación privada.",4.94,23360,,17,https://www.airbnb.cl/rooms/755620559941072677?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
69,Apartamento en Santiago,"Departamento Estudio, Vista Stgo",4.63,26188,,8,https://www.airbnb.cl/rooms/787223817645161684?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
70,Condo en San Miguel,Moderno Departamento en San Miguel,4.93,39517,,99,https://www.airbnb.cl/rooms/671003701371362727?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-14&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
71,Tienda de campo en Santiago,tienda para aventureros,0.0,8565,10399.0,0,https://www.airbnb.cl/rooms/878515384355962054?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=2de4eec6-998f-4168-89d0-6d4a0cae679d
